HistoricWindow,PredictionWindow,MAE,MSE,RMSE
PAH-24,PAH+1,3.199514635217354,25.337318905352454,5.033618867708644
PAH-24,PAH+2,3.220988584318094,25.29872607197177,5.029783899132424
PAH-24,PAH+3,3.292744045809488,24.21649860448899,4.921026173928461
PAH-24,PAH+4,3.4298044525813256,26.623620482773674,5.159808182749982
PAH-24,PAH+6,3.3574285057866917,25.999419321854234,5.098962573098006
PAH-24,PAH+12,3.2176506180231854,25.099716015376078,5.009961678034681
PAH-24,PAH+24,3.1164084571668025,21.951242655589077,4.685215326491311
PAH-12,PAH+1,3.331477174550051,27.42064901863156,5.236472955972518
PAH-12,PAH+2,3.221024283691595,24.338485761748217,4.933405087943642
PAH-12,PAH+3,3.226245119260385,23.93554719559886,4.892396876337697
PAH-12,PAH+4,3.2665179109686044,26.428807372205082,5.140895580752938
PAH-12,PAH+6,3.4168489054763675,28.437162826117603,5.332650637920846
PAH-12,PAH+12,3.2894028468424197,26.514099592248456,5.1491843618429955
PAH-12,PAH+24,3.3899026109524653,24.905877319557426,4.990578856160618
PAH-6,PAH+1,3.269377827469359,26.134658547709467,5.1122068177754185
PAH-6,PAH+2,3.318595043754274,25.234348210639993,5.023380157885724
PAH-6,PAH+3,3.067165110327383,21.94408428360948,4.684451332184964
PAH-6,PAH+4,3.1239687415880484,23.765326208448283,4.874969354616322
PAH-6,PAH+6,3.1981655477780877,24.153766708933034,4.914648177533468
PAH-6,PAH+12,3.358048598197666,27.589230980851955,5.252545190748191
PAH-6,PAH+24,3.44612516114234,26.682342059458364,5.165495335343781
PAH-3,PAH+1,3.1199610304273073,25.396116416706473,5.039455964358303
PAH-3,PAH+2,3.163857718535717,26.613124660088307,5.158791007599388
PAH-3,PAH+3,3.274814805256321,25.265458374263172,5.026475740940483
PAH-3,PAH+4,3.1985554754524057,24.49458552590835,4.949200493605846
PAH-3,PAH+6,3.3731352873656766,25.69312871714069,5.068838991045256
PAH-3,PAH+12,3.355092898388263,26.355677790923096,5.133778120538819
PAH-3,PAH+24,3.2458732086526485,23.199002233459385,4.816534255401843
PAH-1,PAH+1,2.8874210743670656,22.12817010454871,4.704058896798456
PAH-1,PAH+2,3.1006038618664427,24.25023068016226,4.924452322864164
PAH-1,PAH+3,3.197289870583302,25.132390363650096,5.013221555412257
PAH-1,PAH+4,3.1369259968733396,24.787025114158602,4.9786569588754155
PAH-1,PAH+6,3.159207330801565,24.32256379905262,4.93179113497851
PAH-1,PAH+12,3.2503240458421314,25.530466229254028,5.052768174897205
PAH-1,PAH+24,3.221837224758979,24.446244105346562,4.944314321050651
