,0
532,10.2
533,21.6
534,19.3
535,0.0
536,11.6
537,8.8
538,10.2
539,13.6
540,8.1
541,6.4
542,10.4
543,15.7
544,22.6
545,0.0
546,4.0
547,11.0
548,7.9
549,4.3
550,12.5
551,8.8
552,19.3
553,5.1
554,7.9
555,14.7
556,0.0
557,62.4
558,3.3
559,9.6
560,6.4
561,8.8
562,9.1
563,11.3
564,9.1
565,4.1
566,9.2
567,4.3
568,11.4
569,1.0
570,18.6
571,11.5
572,10.9
573,10.3
574,10.1
575,14.2
576,57.5
577,18.2
578,18.6
579,24.0
580,8.4
581,0.0
582,11.2
583,26.0
584,15.0
585,18.1
586,16.0
587,10.2
588,0.0
589,7.6
590,34.3
591,21.7
592,3.9
593,22.3
594,10.9
595,4.0
596,5.8
597,8.5
598,11.9
599,6.4
600,20.1
601,9.9
602,6.5
603,17.2
604,9.4
605,5.6
606,24.2
607,8.2
608,8.3
609,20.5
610,10.5
611,4.4
612,10.6
613,9.4
614,9.8
615,8.7
616,10.5
617,28.4
618,13.4
619,6.7
620,21.4
621,12.9
622,14.4
623,12.8
624,8.1
625,45.4
626,10.9
627,11.1
628,12.2
629,12.0
630,10.1
631,27.3
632,30.2
633,9.4
634,2.4
635,8.1
636,10.7
637,6.7
638,47.6
639,25.8
640,69.4
641,6.6
642,5.0
643,7.2
644,8.55
645,10.1
646,9.9
647,30.6
648,11.8
649,10.7
650,7.4
651,13.2
652,6.6
653,5.5
654,11.7
655,5.7
656,11.3
657,11.1
658,9.1
659,11.0
660,14.7
661,3.1
662,5.9
663,7.7
664,7.6
665,9.0
666,10.7
667,12.2
668,33.1
669,8.0
670,7.7
671,8.1
672,18.3
673,10.1
674,9.9
675,17.3
676,7.1
677,5.8
678,13.1
679,16.2
680,1.3
681,22.6
682,10.6
683,9.0
684,11.6
685,5.8
686,6.8
687,20.8
688,60.1
689,9.1
690,10.0
691,7.8
692,3.9
693,8.2
694,23.2
695,12.7
696,4.2
697,30.2
698,10.7
699,9.8
700,5.6
701,7.7
702,16.4
703,10.3
704,11.3
705,12.5
706,5.8
707,5.1
708,14.0
709,15.8
710,5.5
711,11.1
712,13.0
713,5.6
