HistoricWindow,PredictionWindow,MAE,MSE,RMSE
PAH-24,PAH+1,2.671995647273028,20.49209531731321,4.5268195587314075
PAH-24,PAH+2,3.660385975759803,32.49107831535947,5.700094588281801
PAH-24,PAH+3,4.159695437362863,40.91056822498143,6.396136976721295
PAH-24,PAH+4,4.474725264532139,47.62587135069924,6.9011500020430825
PAH-24,PAH+6,4.786943420009692,53.4016663087462,7.307644374813693
PAH-24,PAH+12,4.896930912744072,53.29430555178059,7.300294894850522
PAH-24,PAH+24,3.9514113965883384,34.842737070256824,5.902773676015101
PAH-12,PAH+1,2.679112073179374,20.453376774858896,4.5225409644202115
PAH-12,PAH+2,3.6552813520293217,32.056565595107195,5.661851781449881
PAH-12,PAH+3,4.145300850906391,40.18691235084329,6.339314817142567
PAH-12,PAH+4,4.423538676191992,46.11883118237701,6.7910846837877825
PAH-12,PAH+6,4.651618820138527,50.284636484326946,7.09116608776913
PAH-12,PAH+12,3.8622176567146775,35.608827462611465,5.967313253266621
PAH-12,PAH+24,4.001330167946056,35.30823532199906,5.9420733184637715
PAH-6,PAH+1,2.6664558926395925,20.469199527670035,4.524289947347543
PAH-6,PAH+2,3.5615044690496775,30.832886507290514,5.552736848374008
PAH-6,PAH+3,4.001370641957455,37.39783988668622,6.11537732986986
PAH-6,PAH+4,4.248212747116896,41.65295246844346,6.45390985902681
PAH-6,PAH+6,4.514755039339366,46.39672988128264,6.811514507162312
PAH-6,PAH+12,4.715322968014272,49.336872721472886,7.0240211219409705
PAH-6,PAH+24,4.008057600300648,35.82919990436035,5.985749736195154
PAH-3,PAH+1,2.641852186283682,19.831985711415822,4.453311768944077
PAH-3,PAH+2,3.5736452352090016,30.471969512826902,5.520142164186254
PAH-3,PAH+3,4.105357920783242,39.71650556621935,6.302103265277343
PAH-3,PAH+4,4.427770420700284,46.819661462165264,6.842489419952746
PAH-3,PAH+6,4.647907833395265,50.04363046402139,7.074152278826163
PAH-3,PAH+12,4.871037933995502,51.56190882283383,7.180662143760409
PAH-3,PAH+24,3.9985800106228426,35.75129625023421,5.979238768458257
PAH-1,PAH+1,2.607941390784435,19.73230321080477,4.442105718103157
PAH-1,PAH+2,3.570698040938516,31.217014291709546,5.587218833347191
PAH-1,PAH+3,4.080711262608032,39.636989023443654,6.295791373881734
PAH-1,PAH+4,4.438832741403832,46.79691576080696,6.840827125487602
PAH-1,PAH+6,4.778601203868373,53.08259580501147,7.285780384077705
PAH-1,PAH+12,4.962276907234827,54.69967296623512,7.395922725815564
PAH-1,PAH+24,4.035936014060653,36.7009385031937,6.05812995099921
