HistoricWindow,PredictionWindow,MAE,MSE,RMSE
PAH-24,PAH+1,2.6500646672609864,20.484482202553576,4.525978590598234
PAH-24,PAH+2,3.3918313685847914,29.065128838967542,5.391208476674552
PAH-24,PAH+3,3.514884552717476,31.40564766692676,5.604074202482223
PAH-24,PAH+4,3.8475874146008766,35.94452319471284,5.995375150456629
PAH-24,PAH+6,3.8042804072048524,32.96627958006283,5.741626910559657
PAH-24,PAH+12,3.7787694094456556,34.24536860849755,5.851954255502819
PAH-24,PAH+24,3.776827567665145,33.834702358847146,5.816760469440627
PAH-12,PAH+1,2.564321015825249,19.493308163451868,4.415122666863501
PAH-12,PAH+2,3.165510783999773,26.994555621292136,5.195628510708992
PAH-12,PAH+3,3.5313226510799054,32.0122680110255,5.657938494807583
PAH-12,PAH+4,3.6270645053254067,32.44983128762781,5.6964753389817995
PAH-12,PAH+6,3.6626242746834294,34.870244636187145,5.9051032705776745
PAH-12,PAH+12,4.043563010373866,38.592869991644,6.212315992578291
PAH-12,PAH+24,3.7006811959162453,32.97231233425578,5.742152238860947
PAH-6,PAH+1,2.535508254703509,19.285322395111116,4.391505709333772
PAH-6,PAH+2,3.2395154649477913,25.977763977339087,5.09683862578943
PAH-6,PAH+3,3.469263564350223,30.05283081342851,5.482046225035731
PAH-6,PAH+4,3.608497882095218,32.03700737222037,5.660124324802449
PAH-6,PAH+6,3.6057306188448415,32.10768982107445,5.666364780092652
PAH-6,PAH+12,3.9050235965829025,34.73058365102216,5.8932659579406526
PAH-6,PAH+24,3.7829090824635125,32.83787900318277,5.730434451521348
PAH-3,PAH+1,2.56245581221184,19.586028257821756,4.425610495493447
PAH-3,PAH+2,3.364650037113361,29.368277411359767,5.419250631901035
PAH-3,PAH+3,3.4598588433550614,29.613904346772582,5.441865888348644
PAH-3,PAH+4,3.54094734924709,32.826875942537406,5.729474316421831
PAH-3,PAH+6,3.7109959605850658,33.26323344984222,5.767428668812664
PAH-3,PAH+12,3.914334696479682,36.66853527898472,6.055455001813218
PAH-3,PAH+24,3.6309715018458575,32.14539816354336,5.669691187670045
PAH-1,PAH+1,2.4924207307458923,18.66924674197253,4.32079237431892
PAH-1,PAH+2,3.4101289540786444,29.543530951147915,5.435396117225304
PAH-1,PAH+3,3.589439894431843,30.801486197596944,5.549908665698648
PAH-1,PAH+4,3.5233523405483473,32.03073715528779,5.659570403775166
PAH-1,PAH+6,3.8038584359710317,35.599269649537476,5.966512352248797
PAH-1,PAH+12,3.96905170141671,37.27165117696426,6.105051283729258
PAH-1,PAH+24,3.758864859787707,33.534396696976046,5.790889111093049
