HistoricWindow,PredictionWindow,MAE,MSE,RMSE
PAH-24,quarter,1.9281523811975754,12.762407969241949,3.5724512549847267
PAH-24,half,1.2647232146146539,6.912913424717181,2.6292419867173087
PAH-24,PAH+1,2.6852816139335984,21.07719224975582,4.590990334313047
PAH-24,PAH+2,3.751926149036486,34.484694631803336,5.872367038239634
PAH-24,PAH+3,4.332524903224787,44.56305182841041,6.675556293554149
PAH-24,PAH+4,4.721471644808284,53.09699261587353,7.286768324564294
PAH-24,PAH+6,5.0482545399576,60.89367022435564,7.803439640591554
PAH-24,PAH+12,5.086161555219636,59.11108763119708,7.688373536138647
PAH-24,PAH+24,4.024892306198909,36.43722077293824,6.036325104973907
PAH-12,quarter,1.9198351034109162,12.140946007257446,3.4843860301719505
PAH-12,half,1.2623116207268474,6.53393052607643,2.556155418998702
PAH-12,PAH+1,2.7052183495467883,21.051067989198895,4.588144286004844
PAH-12,PAH+2,3.7510212139748216,33.78553445009943,5.812532533250841
PAH-12,PAH+3,4.309426340119812,43.49024152023825,6.594713149200521
PAH-12,PAH+4,4.652590416558129,50.93909039594309,7.137162629220599
PAH-12,PAH+6,4.871631634948583,55.737310234222974,7.4657424436035145
PAH-12,PAH+12,3.915062024797625,37.177763856586616,6.0973571206373185
PAH-12,PAH+24,4.111504475463103,37.967505124914695,6.16177775685838
PAH-6,quarter,1.8347026229328798,11.070054895648125,3.327169201535763
PAH-6,half,1.1944344883852183,5.653932471403838,2.3777999224921844
PAH-6,PAH+1,2.672644030178387,20.884904353697387,4.5700004763344815
PAH-6,PAH+2,3.6146749566880025,32.18754703218332,5.67340700392483
PAH-6,PAH+3,4.1255583095409945,40.11230422620282,6.333427525929607
PAH-6,PAH+4,4.451472365525709,45.708751744647834,6.760824782868421
PAH-6,PAH+6,4.7715947102466005,52.00606206535699,7.211522867283788
PAH-6,PAH+12,4.891623530566588,54.04104099747137,7.3512611841419
PAH-6,PAH+24,4.109200373550202,38.35836063593339,6.193412680900037
PAH-3,quarter,1.830486958027482,11.193760684087463,3.3457078001653797
PAH-3,half,1.2073929405108277,5.885482752165303,2.4260013916247662
PAH-3,PAH+1,2.6748245280829597,20.69848193645857,4.54955843312937
PAH-3,PAH+2,3.6765127603878653,32.8177736190972,5.728679919414001
PAH-3,PAH+3,4.280414112094486,43.756263032478905,6.614851701472899
PAH-3,PAH+4,4.6674019802301565,52.500192962573486,7.245701688765104
PAH-3,PAH+6,4.9139088279715555,56.933333180897684,7.545418025589946
PAH-3,PAH+12,4.999624774769428,56.469817708423236,7.514640224816038
PAH-3,PAH+24,4.124346377017531,38.735183100483965,6.223759563196827
PAH-1,quarter,1.8351454662888702,11.532418721412053,3.3959415073602273
PAH-1,half,1.182562444837716,5.765373864170782,2.4011192940315946
PAH-1,PAH+1,2.649899040650878,20.66116653342935,4.545455591404381
PAH-1,PAH+2,3.701220491258338,33.58937755137843,5.79563435280198
PAH-1,PAH+3,4.299171146206692,43.95386955730023,6.629771455887467
PAH-1,PAH+4,4.729505805365466,53.08880940916099,7.286206791545309
PAH-1,PAH+6,5.099485542651487,61.37574929193324,7.834267629583077
PAH-1,PAH+12,5.129626127686774,60.55365168232713,7.781622689537647
PAH-1,PAH+24,4.159844868096266,39.56269583761346,6.289888380377943
