HistoricWindow,PredictionWindow,MAE,MSE,RMSE
PAH-24,PAH+1,3.740620886885416,33.5722888405254,5.794159890831923
PAH-24,PAH+2,3.6237296482599985,29.75814794647728,5.455102927212032
PAH-24,PAH+3,3.810107706542686,32.70344449123103,5.718692550857322
PAH-24,PAH+4,3.725933635070385,31.863926908126757,5.64481416063689
PAH-24,PAH+6,3.6412065410959067,29.891673527955227,5.467327823348004
PAH-24,PAH+12,3.6057993103016464,29.43628774130159,5.425521886537883
PAH-24,PAH+24,3.5997390088133128,29.987614615603263,5.476094832597703
PAH-12,PAH+1,3.5068855176329006,30.111031181351354,5.487351927965925
PAH-12,PAH+2,3.7323811410411483,33.60529532421475,5.797007445589038
PAH-12,PAH+3,3.6182465350500013,30.790818827503625,5.5489475423276104
PAH-12,PAH+4,3.3784417336944617,27.168511307473736,5.212342209359794
PAH-12,PAH+6,3.628305104498195,30.841687661631674,5.553529297809788
PAH-12,PAH+12,3.5343991308083806,30.62029712194214,5.5335609802316394
PAH-12,PAH+24,3.834644157568216,30.595178180114335,5.531290824040473
PAH-6,PAH+1,3.363434867381449,29.692358923723834,5.449069546603698
PAH-6,PAH+2,3.4966159932606753,29.611766833956693,5.441669489592021
PAH-6,PAH+3,3.74118646834667,33.537566670274636,5.791162808130561
PAH-6,PAH+4,3.615099102364961,31.00087742379954,5.567843157255737
PAH-6,PAH+6,3.541048669666488,30.07450131776949,5.484022366636508
PAH-6,PAH+12,3.458920302901822,28.704474387018372,5.35765568014765
PAH-6,PAH+24,3.6053991413483164,28.37635262557448,5.326945900379924
PAH-3,PAH+1,3.3562202504833456,29.355284029538854,5.418051682066059
PAH-3,PAH+2,3.4571875504226544,29.97052059658316,5.474533824590288
PAH-3,PAH+3,3.34725269863494,28.295231859192395,5.319326259893484
PAH-3,PAH+4,3.3866318506951254,30.219184517825248,5.497197878721963
PAH-3,PAH+6,3.6171741212690445,30.068445360198304,5.4834701932442655
PAH-3,PAH+12,3.4820238005556186,28.928243944945358,5.378498298312026
PAH-3,PAH+24,3.5992964059012014,29.585384493601584,5.439244845895575
PAH-1,PAH+1,3.101896197705148,26.412344928759065,5.139294205312542
PAH-1,PAH+2,3.1818713988831777,26.060909451728083,5.104988682820764
PAH-1,PAH+3,3.503425684476162,29.68163625160169,5.448085558395875
PAH-1,PAH+4,3.4532399854708,29.460829319215794,5.4277830943411685
PAH-1,PAH+6,3.6443772403837182,30.132977782970368,5.489351308029972
PAH-1,PAH+12,3.578776269272984,30.053190248710987,5.482079007886606
PAH-1,PAH+24,3.389652642188228,26.88219315350771,5.184804061245488
