MovingAverage,HistoricWindow,PredictionWindow,MAE,MSE,RMSE
MPAH-6,PAH-24,PAH+1,2.97992598250145,22.806009405150075,4.7755637787752425
MPAH-6,PAH-24,PAH+2,3.1915446391958255,24.881432832304558,4.988129191621299
MPAH-6,PAH-24,PAH+3,3.035714565555674,22.980737617675977,4.7938228604815984
MPAH-6,PAH-24,PAH+4,2.966632884720644,21.11653111657635,4.595272692297635
MPAH-6,PAH-24,PAH+6,3.0580052819500763,23.064997153057867,4.802603164228528
MPAH-6,PAH-24,PAH+12,3.1702079155217513,23.292843725497573,4.8262660230759735
MPAH-6,PAH-24,PAH+24,3.209486978330966,22.39931620261594,4.732791586644814
MPAH-6,PAH-12,PAH+1,3.0595647362702834,22.609098486482033,4.754902573816001
MPAH-6,PAH-12,PAH+2,2.9491772289321245,21.597893929229972,4.647353432786232
MPAH-6,PAH-12,PAH+3,3.2694190988884717,23.93425826394597,4.892265146529363
MPAH-6,PAH-12,PAH+4,3.1391693663530518,23.72069986139148,4.870390113881174
MPAH-6,PAH-12,PAH+6,2.989626695032618,21.573824442393228,4.644763120159437
MPAH-6,PAH-12,PAH+12,3.1304334875026245,23.395772357816785,4.836917650510166
MPAH-6,PAH-12,PAH+24,3.124856683707068,21.595636584099054,4.647110562930374
MPAH-6,PAH-6,PAH+1,2.9709778411181413,22.41627827909836,4.73458322126651
MPAH-6,PAH-6,PAH+2,3.0420533222857378,23.013635170635535,4.797252877495154
MPAH-6,PAH-6,PAH+3,3.08831093023322,23.438942251441894,4.841378135556227
MPAH-6,PAH-6,PAH+4,3.125244926957488,22.750363644816506,4.769734127267107
MPAH-6,PAH-6,PAH+6,3.104515332113371,24.35217928022054,4.934792729205609
MPAH-6,PAH-6,PAH+12,3.301855459413315,25.92373354681,5.091535480266242
MPAH-6,PAH-6,PAH+24,3.2278918041421716,23.514925961594614,4.849219108433297
MPAH-6,PAH-3,PAH+1,3.164218442700323,25.24888605885137,5.024826968050877
MPAH-6,PAH-3,PAH+2,3.2112347674643824,25.079843599631065,5.007977995122489
MPAH-6,PAH-3,PAH+3,3.0350692435635858,23.213067744633314,4.817994161955088
MPAH-6,PAH-3,PAH+4,3.0060705457116237,22.724076790523867,4.766977741769293
MPAH-6,PAH-3,PAH+6,3.085303728399117,22.526322670443594,4.746190332302698
MPAH-6,PAH-3,PAH+12,3.188084978676019,23.77312377762672,4.875769044738145
MPAH-6,PAH-3,PAH+24,3.4398096661027817,25.853196079781874,5.084603827220158
MPAH-6,PAH-1,PAH+1,2.773575548061166,20.195694819862478,4.493962040322824
MPAH-6,PAH-1,PAH+2,3.054887473009885,24.36560492259003,4.936152846356161
MPAH-6,PAH-1,PAH+3,3.2091384477559544,25.111466672033742,5.011134270006516
MPAH-6,PAH-1,PAH+4,3.0139904205168153,23.370471072153688,4.834301508196782
MPAH-6,PAH-1,PAH+6,3.177138952561107,23.820923459614214,4.880668341489126
MPAH-6,PAH-1,PAH+12,3.164738384042485,24.64158602312152,4.964029212557227
MPAH-6,PAH-1,PAH+24,3.327305830146771,24.557126863837112,4.955514793019703
MPAH-3,PAH-24,PAH+1,2.9692689078095174,22.11750287394592,4.702924927526052
MPAH-3,PAH-24,PAH+2,2.8609541309744806,20.410773222056577,4.517828374568536
MPAH-3,PAH-24,PAH+3,3.0555724291932362,23.004003522624462,4.796248901237765
MPAH-3,PAH-24,PAH+4,3.2466629233798154,26.0939899471972,5.108227671824857
MPAH-3,PAH-24,PAH+6,3.1833972621070163,23.87141659595997,4.8858383718620875
MPAH-3,PAH-24,PAH+12,3.235819726737278,25.03398220905518,5.003397066899166
MPAH-3,PAH-24,PAH+24,3.3705760834137135,25.823492803342376,5.081682084048782
MPAH-3,PAH-12,PAH+1,2.9759783067817276,22.24569406653256,4.716534115908901
MPAH-3,PAH-12,PAH+2,3.0181780587670763,22.56916438387852,4.7507014622978065
MPAH-3,PAH-12,PAH+3,3.0139712745644736,22.854208364923945,4.780607530944571
MPAH-3,PAH-12,PAH+4,3.001404894114988,22.57493926127625,4.7513092154980034
MPAH-3,PAH-12,PAH+6,3.304468735633504,24.37509244487818,4.93711377678074
MPAH-3,PAH-12,PAH+12,3.2352221670260746,25.358847747356442,5.035756919009936
MPAH-3,PAH-12,PAH+24,3.6073365750106694,27.944003554596478,5.286208807320846
MPAH-3,PAH-6,PAH+1,2.972043425130627,22.312864714805524,4.723649512273908
MPAH-3,PAH-6,PAH+2,2.900255427810613,20.80784399338682,4.561561573999283
MPAH-3,PAH-6,PAH+3,3.1976876669883265,25.57375440824919,5.0570499709068715
MPAH-3,PAH-6,PAH+4,3.186860408374079,26.183607029151112,5.11699199033486
MPAH-3,PAH-6,PAH+6,3.0629967051372127,22.776675949454916,4.772491587153917
MPAH-3,PAH-6,PAH+12,3.2719065493730057,25.707999405614018,5.070305652089824
MPAH-3,PAH-6,PAH+24,3.5081358426036187,25.84700997027304,5.083995473077552
MPAH-3,PAH-3,PAH+1,3.0285210874937083,22.31940322069747,4.724341564778892
MPAH-3,PAH-3,PAH+2,2.847636864837644,20.215356222779935,4.496149043657242
MPAH-3,PAH-3,PAH+3,3.1102184111558477,23.21567974852779,4.81826522189551
MPAH-3,PAH-3,PAH+4,3.2062419608318535,26.1376777523139,5.112502102915352
MPAH-3,PAH-3,PAH+6,3.282991832116959,25.34321295668864,5.034204302239694
MPAH-3,PAH-3,PAH+12,3.419463534524085,29.59362008184539,5.440001845757536
MPAH-3,PAH-3,PAH+24,3.3769555192198233,26.07452506346979,5.106322068129838
MPAH-3,PAH-1,PAH+1,2.9397286236751743,22.636700355492614,4.757804152704545
MPAH-3,PAH-1,PAH+2,2.9392001563117276,22.19200364972413,4.710838953915123
MPAH-3,PAH-1,PAH+3,3.1582644540145033,23.80388838605637,4.878922871501083
MPAH-3,PAH-1,PAH+4,3.313700730618563,26.790718881124757,5.175975162336538
MPAH-3,PAH-1,PAH+6,3.20495212587476,24.473536773904115,4.947073556548772
MPAH-3,PAH-1,PAH+12,3.2765463280796774,24.944658150246788,4.994462748909715
MPAH-3,PAH-1,PAH+24,3.376674766254486,26.59905847511521,5.157427505560811
