,0,1,2,3,4,5,6,7
75,2019.0,3.0,17.0,21.0,45.0,4.911111111,10.6,10.9
76,2019.0,8.0,9.0,15.0,45.0,20.21111111,6.2,6.9
77,2019.0,2.0,3.0,13.0,15.0,1.755555556,8.2,7.8
78,2019.0,5.0,13.0,18.0,0.0,10.66111111,5.7,12.7
79,2019.0,6.0,23.0,1.0,30.0,15.84444444,18.1,17.3
80,2018.0,12.0,30.0,19.0,15.0,4.8777777780000005,10.4,10.2
81,2019.0,8.0,3.0,4.0,0.0,17.63888889,0.0,19.9
82,2019.0,4.0,21.0,0.0,30.0,8.877777777999999,11.3,11.1
83,2019.0,6.0,11.0,4.0,15.0,15.71111111,7.4,7.3
84,2019.0,1.0,26.0,13.0,30.0,2.811111111,10.2,9.8
85,2018.0,12.0,23.0,23.0,0.0,1.5833333330000001,10.6,10.6
86,2019.0,1.0,15.0,22.0,30.0,5.233333333,9.9,9.9
87,2019.0,4.0,26.0,21.0,15.0,11.12222222,7.4,6.6
88,2019.0,7.0,30.0,16.0,15.0,22.28333333,19.3,26.8
89,2019.0,9.0,24.0,13.0,30.0,14.63888889,3.7,4.1
90,2019.0,11.0,13.0,18.0,45.0,7.233333332999999,10.8,11.3
91,2019.0,8.0,18.0,19.0,45.0,17.42777778,23.3,27.5
92,2019.0,11.0,8.0,15.0,0.0,8.877777777999999,4.1,8.9
93,2019.0,6.0,23.0,22.0,30.0,17.81666667,15.9,13.7
94,2019.0,10.0,22.0,20.0,0.0,11.58888889,18.6,19.6
95,2019.0,2.0,23.0,13.0,15.0,4.511111111,11.6,14.0
96,2019.0,3.0,8.0,21.0,45.0,4.1111111110000005,9.3,9.8
97,2019.0,4.0,17.0,7.0,0.0,5.927777777999999,0.0,0.0
98,2019.0,4.0,19.0,16.0,0.0,10.68888889,9.1,11.0
99,2019.0,7.0,11.0,6.0,45.0,14.39444444,13.1,13.6
100,2019.0,5.0,26.0,11.0,30.0,13.25555556,7.1,13.6
101,2019.0,2.0,4.0,0.0,0.0,1.6666666669999999,10.6,10.6
102,2019.0,1.0,28.0,3.0,45.0,2.877777778,10.5,9.7
103,2019.0,5.0,9.0,10.0,30.0,10.57222222,10.3,19.1
104,2019.0,6.0,3.0,3.0,15.0,15.45,7.9,6.5
105,2019.0,2.0,12.0,20.0,15.0,4.255555556,11.0,10.5
106,2019.0,5.0,13.0,8.0,45.0,9.222222222000001,13.4,22.0
107,2019.0,7.0,21.0,9.0,15.0,18.84444444,37.1,27.6
108,2019.0,9.0,12.0,11.0,0.0,17.3,3.1,3.0
