,Actual,Predicted
0,20.3,15.124730033398784
1,8.4,8.844592125081153
2,11.4,14.971419962406868
3,10.1,8.992327282530507
4,10.2,7.0578329601112575
5,9.5,8.576996368863904
6,7.3,13.555392419320558
7,11.4,8.161665455197303
8,0.0,10.104522144669073
9,4.0,12.03344155655621
10,4.3,11.414626366572117
11,11.2,8.878041594796462
12,13.8,9.167936997657833
13,9.8,8.777693186152277
14,11.2,12.66340656359059
15,60.8,16.0111409780949
16,11.1,14.143545591092334
17,6.9,11.882918943589932
18,8.0,7.542850268725404
19,14.7,16.078039915518552
20,19.8,14.583963607923465
21,20.3,12.22856346281073
22,30.6,16.501733194230702
23,6.7,13.795113618863319
24,9.7,8.409749021290843
25,7.3,9.678041407931282
26,16.2,15.62925952962793
27,17.1,14.940757949211969
28,8.0,7.54563772424233
29,12.1,6.784662292358415
30,6.4,12.590932715133086
31,5.2,12.050166289657769
32,8.4,12.337274235496984
33,5.1,12.465497204327853
34,40.6,17.075949090926557
35,43.2,13.243197371320296
36,13.0,16.588144327798968
37,5.2,11.735183783631868
38,0.0,7.85783277374782
39,12.1,15.729607938272116
40,7.7,15.87734309823018
41,13.4,12.794416985429674
42,5.5,14.818109896432373
43,4.4,14.793022794271327
44,3.0,12.314974591361576
45,8.0,9.588842822860027
46,1.3,13.477343659829202
47,9.6,9.719853245200856
48,4.2,11.252953932541619
49,14.9,5.71149181096901
50,12.2,7.389540199740456
51,9.4,15.26131536627172
52,10.3,9.477344590642911
53,13.0,11.698946859403119
54,1.9,11.22786683038057
55,25.3,16.432046798781418
56,17.2,7.28082942404375
57,14.4,7.718459983852729
58,7.7,16.103127017679597
59,2.9,10.302431506440518
60,6.9,13.878737294405948
61,36.8,16.231349981493047
62,74.6,15.871768187196325
63,35.1,17.597203325274684
64,0.0,8.289888422021205
65,10.4,9.095463146691618
66,0.0,10.871072488590325
67,16.1,14.63971272327941
68,29.8,14.650862545347115
69,9.0,8.629958028702925
70,8.9,11.556786615496328
71,9.6,7.958181182392005
72,17.4,14.427866083923334
73,17.9,11.45086329581829
74,3.3,13.739364503507373
75,5.7,11.774208165886257
76,6.5,9.912187694934964
77,23.9,15.434137628390829
78,10.7,15.241803175144526
79,5.1,10.946333795073464
80,9.2,14.798597705305179
81,4.4,12.027866645522359
82,20.3,16.57978195873948
83,11.3,8.161665455197303
84,7.7,10.229957655474305
85,9.6,8.275951142931348
86,9.2,7.0438956810214
87,16.7,6.784662292358415
88,18.9,16.627168705035935
89,12.6,5.834139865755573
90,4.5,10.859922665519136
91,8.3,9.29615996397999
92,7.5,16.21183779538327
93,11.4,8.008355386714099
94,16.7,15.601384974458666
95,10.6,15.983266417908215
96,39.2,14.820897349440587
97,8.5,12.025079187496722
98,12.8,17.33796993460473
99,6.7,13.57769206847339
100,0.0,15.049468726915643
101,5.0,10.946333795073464
102,20.0,7.896857154496981
103,7.0,9.245985759657898
104,21.2,9.109400425781477
105,5.9,12.657831652556737
106,21.3,15.737970307331604
107,10.3,8.323337891234772
108,10.2,8.858529404171012
109,0.0,9.792327095665327
110,7.8,10.377692812923659
111,16.9,7.208355573077537
