year,month,day,hour,minute,PAH
2019,9,30,11,15,2.3
2019,9,30,11,30,null
2019,9,30,11,45,null
2019,9,30,12,0,null
2019,9,30,12,15,null
2019,9,30,12,30,2.1
2019,9,30,12,45,2
2019,9,30,13,0,1.9
2019,9,30,13,15,1.5
