HistoricWindow,PredictionWindow,MAE,MSE,RMSE
PAH-24,quarter,0.7859470755629142,1.933752477649921,1.3905942893777181
PAH-24,half,1.412686074151102,6.721262255223831,2.5925397306934044
PAH-24,PAH+1,2.401533140538246,17.780721868504312,4.216719325317292
PAH-24,PAH+2,2.9708160099605996,22.39185132362033,4.732002887110312
PAH-24,PAH+3,3.2709698475882076,26.49749110738039,5.147571379532332
PAH-24,PAH+4,3.3152973792700755,29.240777446913032,5.4074742206424835
PAH-24,PAH+6,3.57039457901101,31.006239901470437,5.568324694328666
PAH-24,PAH+12,3.592284522311862,31.030315547246644,5.570486114087948
PAH-24,PAH+24,3.5110068929363005,29.213803635096625,5.4049795221718115
PAH-12,quarter,0.8035425210515237,1.942217245271604,1.3936345450912173
PAH-12,half,1.4424692215853796,7.023385510565908,2.6501670721986392
PAH-12,PAH+1,2.287996660898004,15.70427552226535,3.9628620367438168
PAH-12,PAH+2,2.924089263513825,22.694283044967328,4.763851702663227
PAH-12,PAH+3,3.133560164004417,25.312175122500143,5.031120662685416
PAH-12,PAH+4,3.3303507265774317,27.55775388316489,5.249547969412689
PAH-12,PAH+6,3.66744140010217,30.667199837414675,5.537797381397651
PAH-12,PAH+12,3.6346614618504227,31.635332362725507,5.624529523678003
PAH-12,PAH+24,3.633548132547974,30.134666335308932,5.4895051084145035
PAH-6,quarter,0.7900077919844213,1.9439523908149619,1.394256931420806
PAH-6,half,1.3891354443846125,6.691246536444494,2.5867443894680613
PAH-6,PAH+1,2.4050748246817975,17.471357371382233,4.17987528179756
PAH-6,PAH+2,2.886319786934578,22.354510754654303,4.728055705536294
PAH-6,PAH+3,3.095810312793018,24.66244272601066,4.96612955187545
PAH-6,PAH+4,3.1988123563079136,26.015305573288877,5.10052012772118
PAH-6,PAH+6,3.5277889760043672,29.714796324410642,5.451127986427272
PAH-6,PAH+12,3.8657991565079124,33.78136522006734,5.812173880749555
PAH-6,PAH+24,3.6581938770205684,31.095110801130968,5.576299023647402
PAH-3,quarter,0.7741576996689141,1.9065419245451183,1.3807758415271896
PAH-3,half,1.406754199974514,6.787892565066079,2.6053584331270194
PAH-3,PAH+1,2.325616301965411,16.985042219558927,4.121291329129613
PAH-3,PAH+2,2.8472214163100382,21.813904212252854,4.670535752165147
PAH-3,PAH+3,3.185996199296221,25.241947928538004,5.024136535618633
PAH-3,PAH+4,3.465014168181207,30.357996227094908,5.509809091710429
PAH-3,PAH+6,3.5088653401195526,29.211919637587222,5.404805235860699
PAH-3,PAH+12,3.7152291819487497,32.29639434947164,5.682991672479526
PAH-3,PAH+24,3.7726465495423347,31.509557782695186,5.613337490539402
PAH-1,quarter,0.7345360690492421,1.6438136365427634,1.2821129577937989
PAH-1,half,1.3748217018637452,6.1633514466394885,2.482609805555333
PAH-1,PAH+1,2.294800437099013,16.726532239845024,4.089808337788584
PAH-1,PAH+2,3.2350669226458546,24.522373665069566,4.952007034028684
PAH-1,PAH+3,3.577394863783759,31.5326190831762,5.6153912671492625
PAH-1,PAH+4,3.4873235603899504,30.35401890809973,5.509448149143409
PAH-1,PAH+6,3.647354397832442,33.66432125893347,5.80209628142566
PAH-1,PAH+12,3.619183533788351,31.0975062918836,5.576513811682313
PAH-1,PAH+24,3.6644517408776,31.962383615209955,5.653528421721249
